ReleaseDate,Movie,ProductionBudget,DomesticOpeningWeekend,DomesticBoxOffice,WorldwideBoxOffice,Meta,MetaNone
May 2 2008,Iron Man,186000000,102118668,318604126,585171547,NULL,None
Jun 13 2008,The Incredible Hulk,137500000,55414050,134806913,265573859,NULL,None
May 7 2010,Iron Man 2,170000000,128122480,312433331,621156389,NULL,None
May 6 2011,Thor,150000000,65723338,181030624,449326618,NULL,None
Jul 22 2011,Captain America: The First Avenger,140000000,65058524,176654505,370569776,NULL,None
May 4 2012,The Avengers,225000000,207438708,623279547,1519479547,NULL,None
May 3 2013,Iron Man 3,200000000,174144585,408992272,1215392272,NULL,None
Nov 8 2013,Thor: The Dark World,150000000,85737841,206362140,644602516,NULL,None
Apr 4 2014,Captain America: The Winter Soldier,170000000,95023721,259746958,714401889,NULL,None
Aug 1 2014,Guardians of the Galaxy,170000000,94320883,333172112,771051335,NULL,None
May 1 2015,Avengers: Age of Ultron,330600000,191271109,459005868,1408218722,NULL,None
Jul 17 2015,Ant-Man,130000000,57225526,180202163,519338048,NULL,None
May 6 2016,Captain America: Civil War,250000000,179139142,408084349,1153304495,NULL,None
Nov 4 2016,Doctor Strange,165000000,85058311,232641920,677541920,NULL,None
May 5 2017,Guardians of the Galaxy Vol 2,200000000,146510104,389813101,863197744,NULL,None
Jul 7 2017,Spider-Man: Homecoming,175000000,117027503,334201140,880206511,NULL,None
Nov 3 2017,Thor: Ragnarok,180000000,122744989,315058289,850653412,NULL,None
Feb 16 2018,Black Panther,200000000,202003951,656925740,1282936649,NULL,None
